Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Opioid Court Cases,Opioid Court Cases Description,Total Cases,Total Cases Description,Rate of Opioid Court Cases,Percentage of Opioid Court Cases,Percentage of Opioid Court Cases Description,Type of Rate,County_Code_Number,County_Code_Text,State_FIPS_Code,County_FIPS_Code,Latitude,Longitude,Georeferenced Latitude & Longitude
County,Indiana,All,All (18+ years),2018,2018 Q3,7/1/2018-9/30/2018,5,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,32,32,42,063,40.6529549748,-79.0933349286,POINT (-79.0933349286 40.6529549748)
County,Butler,All,All (18+ years),2018,2018 Q1,1/1/2018-3/31/2018,21,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,10,10,42,019,40.9108318483,-79.9171177889,POINT (-79.9171177889 40.9108318483)
County,Dauphin,All,All (18+ years),2018,2018 Annual,1/1/2018-12/31/2018,107,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,5535,Total number of annual court cases,19.33,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",22,22,42,043,40.4197463597,-76.7796056802,POINT (-76.7796056802 40.4197463597)
County,Butler,All,All (18+ years),2017,2017 Q3,7/1/2017-9/30/2017,13,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,10,10,42,019,40.9108318483,-79.9171177889,POINT (-79.9171177889 40.9108318483)
County,Bradford,All,All (18+ years),2018,2018 Q4,10/1/2018-12/31/2018,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,8,08,42,015,41.7911781401,-76.5182562384,POINT (-76.5182562384 41.7911781401)
State,Commonwealth,Male,All (18+ years),2016,2016 Q3,7/1/2016-9/30/2016,922,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,1078,Total opioid court cases where gender is known,,85.5,Percent of total opioid cases for the time period,Rates by gender are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Bucks,All,All (18+ years),2016,2016 Q4,10/1/2016-12/31/2016,4,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,9,09,42,017,40.335011331,-75.1129124111,POINT (-75.1129124111 40.335011331)
County,Schuylkill,All,All (18+ years),2016,2016 Annual,1/1/2016-12/31/2016,63,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,1989,Total number of annual court cases,31.67,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",54,54,42,107,40.707512431,-76.223323851,POINT (-76.223323851 40.707512431000005)
County,York,All,All (18+ years),2017,2017 Annual,1/1/2017-12/31/2017,175,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,7405,Total number of annual court cases,23.63,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",67,67,42,133,39.9219253124,-76.7257605231,POINT (-76.7257605231 39.9219253124)
County,Lancaster,All,All (18+ years),2017,2017 Q2,4/1/2017-6/30/2017,63,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,36,36,42,071,40.0459079619,-76.2513876838,POINT (-76.2513876838 40.0459079619)
County,Dauphin,All,All (18+ years),2017,2017 Q4,10/1/2017-12/31/2017,35,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,22,22,42,043,40.4197463597,-76.7796056802,POINT (-76.7796056802 40.4197463597)
County,Montour,All,All (18+ years),2018,2018 Q4,10/1/2018-12/31/2018,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,47,47,42,093,41.0280182438,-76.6647052668,POINT (-76.6647052668 41.0280182438)
County,Clinton,All,All (18+ years),2017,2017 Q1,1/1/2017-3/31/2017,4,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,18,18,42,035,41.2328627374,-77.6428376046,POINT (-77.6428376046 41.2328627374)
County,Franklin,All,All (18+ years),2018,2018 Annual,1/1/2018-12/31/2018,31,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,1887,Total number of annual court cases,16.43,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",28,28,42,055,39.9278619704,-77.7239884483,POINT (-77.7239884483 39.9278619704)
County,Butler,All,All (18+ years),2018,2018 Q3,7/1/2018-9/30/2018,7,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,10,10,42,019,40.9108318483,-79.9171177889,POINT (-79.9171177889 40.9108318483)
County,Monroe,All,All (18+ years),2016,2016 Q1,1/1/2016-3/31/2016,6,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,45,45,42,089,41.0609178653,-75.3408360302,POINT (-75.3408360302 41.0609178653)
County,Carbon,All,All (18+ years),2018,2018 Annual,1/1/2018-12/31/2018,10,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,802,Total number of annual court cases,12.47,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",13,13,42,025,40.9193670081,-75.7110703866,POINT (-75.7110703866 40.9193670081)
County,Montgomery,All,All (18+ years),2018,2018 Q1,1/1/2018-3/31/2018,35,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,46,46,42,091,40.209898739,-75.3725200072,POINT (-75.3725200072 40.209898739)
County,Clarion,All,All (18+ years),2017,2017 Annual,1/1/2017-12/31/2017,16,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,548,Total number of annual court cases,29.2,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",16,16,42,031,41.1927912877,-79.4248360769,POINT (-79.4248360769 41.1927912877)
County,Monroe,All,All (18+ years),2017,2017 Q2,4/1/2017-6/30/2017,8,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,45,45,42,089,41.0609178653,-75.3408360302,POINT (-75.3408360302 41.0609178653)
County,Warren,All,All (18+ years),2018,2018 Annual,1/1/2018-12/31/2018,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,427,Total number of annual court cases,2.34,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",62,62,42,123,41.8167523652,-79.278581578,POINT (-79.278581578 41.8167523652)
State,Commonwealth,All,20 to 24 years,2017,2017 Q1,1/1/2017-3/31/2017,236,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,987,Total opioid court cases where age is known,,23.9,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Northampton,All,All (18+ years),2017,2017 Q4,10/1/2017-12/31/2017,11,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,48,48,42,095,40.754595404,-75.3126372576,POINT (-75.3126372576 40.754595404)
County,Warren,All,All (18+ years),2016,2016 Q1,1/1/2016-3/31/2016,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,62,62,42,123,41.8167523652,-79.278581578,POINT (-79.278581578 41.8167523652)
County,Northumberland,All,All (18+ years),2016,2016 Annual,1/1/2016-12/31/2016,15,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,1221,Total number of annual court cases,12.29,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",49,49,42,097,40.8515092572,-76.7118842273,POINT (-76.7118842273 40.8515092572)
County,Philadelphia,All,All (18+ years),2017,2017 Q3,7/1/2017-9/30/2017,224,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,51,51,42,101,40.0044435384,-75.140236002,POINT (-75.140236002 40.0044435384)
County,Bucks,All,All (18+ years),2016,2016 Q1,1/1/2016-3/31/2016,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,9,09,42,017,40.335011331,-75.1129124111,POINT (-75.1129124111 40.335011331)
County,Westmoreland,All,All (18+ years),2018,2018 Q4,10/1/2018-12/31/2018,25,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,65,65,42,129,40.3103149985,-79.471341176,POINT (-79.471341176 40.3103149985)
State,Commonwealth,All,All (18+ years),2017,2017 Q2,4/1/2017-6/30/2017,939,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
State,Commonwealth,Male,All (18+ years),2018,2018 Q1,1/1/2018-3/31/2018,689,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,799,Total opioid court cases where gender is known,,86.2,Percent of total opioid cases for the time period,Rates by gender are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Lackawanna,All,All (18+ years),2016,2016 Q2,4/1/2016-6/30/2016,24,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,35,35,42,069,41.4391006428,-75.6121834524,POINT (-75.6121834524 41.4391006428)
County,Mifflin,All,All (18+ years),2016,2016 Annual,1/1/2016-12/31/2016,7,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,800,Total number of annual court cases,8.75,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",44,44,42,087,40.6127492804,-77.6200308901,POINT (-77.6200308901 40.6127492804)
County,Mercer,All,All (18+ years),2016,2016 Q4,10/1/2016-12/31/2016,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,43,43,42,085,41.302377765,-80.2600941079,POINT (-80.26009410790002 41.302377765)
State,Commonwealth,All,35 to 39 years,2016,2016 Annual,1/1/2016-12/31/2016,434,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,4059,Total opioid court cases where age is known,,10.7,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
State,Commonwealth,All,56+ years,2016,2016 Q1,1/1/2016-3/31/2016,28,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,1034,Total opioid court cases where age is known,,2.7,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Pike,All,All (18+ years),2017,2017 Q3,7/1/2017-9/30/2017,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,52,52,42,103,41.332571995,-75.0327092448,POINT (-75.0327092448 41.332571995)
State,Commonwealth,All,18 to 19 years,2018,2018 Q2,4/1/2018-6/30/2018,33,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,738,Total opioid court cases where age is known,,4.5,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Lehigh,All,All (18+ years),2016,2016 Q3,7/1/2016-9/30/2016,16,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,39,39,42,077,40.6146479416,-75.6009948118,POINT (-75.6009948118 40.6146479416)
County,Northampton,All,All (18+ years),2018,2018 Q2,4/1/2018-6/30/2018,11,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,48,48,42,095,40.754595404,-75.3126372576,POINT (-75.3126372576 40.754595404)
County,Beaver,All,All (18+ years),2016,2016 Annual,1/1/2016-12/31/2016,77,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,2893,Total number of annual court cases,26.62,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",4,04,42,007,40.6834924548,-80.3510735648,POINT (-80.3510735648 40.6834924548)
County,Beaver,All,All (18+ years),2017,2017 Q2,4/1/2017-6/30/2017,19,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,4,04,42,007,40.6834924548,-80.3510735648,POINT (-80.3510735648 40.6834924548)
County,Cambria,All,All (18+ years),2016,2016 Q2,4/1/2016-6/30/2016,11,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,11,11,42,021,40.4912749067,-78.7189417385,POINT (-78.7189417385 40.4912749067)
County,York,All,All (18+ years),2016,2016 Annual,1/1/2016-12/31/2016,273,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,7732,Total number of annual court cases,35.31,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",67,67,42,133,39.9219253124,-76.7257605231,POINT (-76.7257605231 39.9219253124)
County,Indiana,All,All (18+ years),2017,2017 Q1,1/1/2017-3/31/2017,8,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,32,32,42,063,40.6529549748,-79.0933349286,POINT (-79.0933349286 40.6529549748)
State,Commonwealth,All,30 to 34 years,2017,2017 Q4,10/1/2017-12/31/2017,135,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,796,Total opioid court cases where age is known,,17,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
State,Commonwealth,All,50 to 55 years,2016,2016 Q4,10/1/2016-12/31/2016,32,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,915,Total opioid court cases where age is known,,3.5,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Northumberland,All,All (18+ years),2018,2018 Annual,1/1/2018-12/31/2018,17,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,1354,Total number of annual court cases,12.56,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",49,49,42,097,40.8515092572,-76.7118842273,POINT (-76.7118842273 40.8515092572)
County,Carbon,All,All (18+ years),2017,2017 Q1,1/1/2017-3/31/2017,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,13,13,42,025,40.9193670081,-75.7110703866,POINT (-75.7110703866 40.9193670081)
County,Fayette,All,All (18+ years),2018,2018 Q2,4/1/2018-6/30/2018,7,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,26,26,42,051,39.919447803,-79.6518963464,POINT (-79.6518963464 39.919447803)
County,Wyoming,All,All (18+ years),2018,2018 Q2,4/1/2018-6/30/2018,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,66,66,42,131,41.5189248803,-76.0181300338,POINT (-76.0181300338 41.5189248803)
County,Adams,All,All (18+ years),2016,2016 Q3,7/1/2016-9/30/2016,3,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,1,01,42,001,39.8720956503,-77.2222427076,POINT (-77.2222427076 39.8720956503)
County,Crawford,All,All (18+ years),2018,2018 Q1,1/1/2018-3/31/2018,4,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,20,20,42,039,41.6854690692,-80.1132108295,POINT (-80.1132108295 41.6854690692)
County,Crawford,All,All (18+ years),2016,2016 Q1,1/1/2016-3/31/2016,3,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,20,20,42,039,41.6854690692,-80.1132108295,POINT (-80.1132108295 41.6854690692)
County,Crawford,All,All (18+ years),2016,2016 Q3,7/1/2016-9/30/2016,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,20,20,42,039,41.6854690692,-80.1132108295,POINT (-80.1132108295 41.6854690692)
County,Northumberland,All,All (18+ years),2017,2017 Q1,1/1/2017-3/31/2017,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,49,49,42,097,40.8515092572,-76.7118842273,POINT (-76.7118842273 40.8515092572)
County,Clarion,All,All (18+ years),2017,2017 Q4,10/1/2017-12/31/2017,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,16,16,42,031,41.1927912877,-79.4248360769,POINT (-79.4248360769 41.1927912877)
State,Commonwealth,Female,All (18+ years),2016,2016 Q1,1/1/2016-3/31/2016,144,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,1035,Total opioid court cases where gender is known,,13.9,Percent of total opioid cases for the time period,Rates by gender are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Crawford,All,All (18+ years),2018,2018 Q2,4/1/2018-6/30/2018,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,20,20,42,039,41.6854690692,-80.1132108295,POINT (-80.1132108295 41.6854690692)
State,Commonwealth,Female,All (18+ years),2018,2018 Q4,10/1/2018-12/31/2018,93,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,578,Total opioid court cases where gender is known,,16.1,Percent of total opioid cases for the time period,Rates by gender are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Erie,All,All (18+ years),2016,2016 Q4,10/1/2016-12/31/2016,7,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,25,25,42,049,41.9941378702,-80.0407591036,POINT (-80.0407591036 41.9941378702)
County,Beaver,All,All (18+ years),2016,2016 Q4,10/1/2016-12/31/2016,20,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,4,04,42,007,40.6834924548,-80.3510735648,POINT (-80.3510735648 40.6834924548)
County,Erie,All,All (18+ years),2018,2018 Q1,1/1/2018-3/31/2018,4,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,25,25,42,049,41.9941378702,-80.0407591036,POINT (-80.0407591036 41.9941378702)
County,Bedford,All,All (18+ years),2017,2017 Annual,1/1/2017-12/31/2017,5,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,657,Total number of annual court cases,7.61,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",5,05,42,009,40.0073753643,-78.4911647381,POINT (-78.4911647381 40.0073753643)
County,Delaware,All,All (18+ years),2017,2017 Q1,1/1/2017-3/31/2017,36,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,23,23,42,045,39.9165786652,-75.4062771212,POINT (-75.40627712120002 39.9165786652)
State,Commonwealth,All,40 to 44 years,2018,2018 Q2,4/1/2018-6/30/2018,71,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,738,Total opioid court cases where age is known,,9.6,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Blair,All,All (18+ years),2017,2017 Q1,1/1/2017-3/31/2017,66,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,7,07,42,013,40.4855502384,-78.349076871,POINT (-78.349076871 40.4855502384)
County,Monroe,All,All (18+ years),2017,2017 Annual,1/1/2017-12/31/2017,18,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,2395,Total number of annual court cases,7.52,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",45,45,42,089,41.0609178653,-75.3408360302,POINT (-75.3408360302 41.0609178653)
County,Beaver,All,All (18+ years),2018,2018 Q1,1/1/2018-3/31/2018,12,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,4,04,42,007,40.6834924548,-80.3510735648,POINT (-80.3510735648 40.6834924548)
County,Schuylkill,All,All (18+ years),2018,2018 Annual,1/1/2018-12/31/2018,15,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,2441,Total number of annual court cases,6.15,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",54,54,42,107,40.707512431,-76.223323851,POINT (-76.223323851 40.707512431000005)
County,Lehigh,All,All (18+ years),2017,2017 Q3,7/1/2017-9/30/2017,16,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,39,39,42,077,40.6146479416,-75.6009948118,POINT (-75.6009948118 40.6146479416)
County,Lebanon,All,All (18+ years),2017,2017 Q1,1/1/2017-3/31/2017,11,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,38,38,42,075,40.3675970024,-76.4618257486,POINT (-76.4618257486 40.3675970024)
County,Union,All,All (18+ years),2016,2016 Annual,1/1/2016-12/31/2016,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,312,Total number of annual court cases,6.41,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",60,60,42,119,40.9647313096,-77.0641580308,POINT (-77.0641580308 40.9647313096)
County,Blair,All,All (18+ years),2016,2016 Q3,7/1/2016-9/30/2016,25,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,7,07,42,013,40.4855502384,-78.349076871,POINT (-78.349076871 40.4855502384)
County,Beaver,All,All (18+ years),2018,2018 Q2,4/1/2018-6/30/2018,8,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,4,04,42,007,40.6834924548,-80.3510735648,POINT (-80.3510735648 40.6834924548)
County,Bedford,All,All (18+ years),2017,2017 Q3,7/1/2017-9/30/2017,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,5,05,42,009,40.0073753643,-78.4911647381,POINT (-78.4911647381 40.0073753643)
County,Philadelphia,All,All (18+ years),2016,2016 Q3,7/1/2016-9/30/2016,244,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,51,51,42,101,40.0044435384,-75.140236002,POINT (-75.140236002 40.0044435384)
County,Jefferson,All,All (18+ years),2016,2016 Annual,1/1/2016-12/31/2016,25,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,665,Total number of annual court cases,37.59,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",33,33,42,065,41.1313909115,-79.0010181419,POINT (-79.0010181419 41.1313909115)
State,Commonwealth,All,30 to 34 years,2016,2016 Q1,1/1/2016-3/31/2016,156,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,1034,Total opioid court cases where age is known,,15.1,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
State,Commonwealth,All,40 to 44 years,2016,2016 Q2,4/1/2016-6/30/2016,89,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,1034,Total opioid court cases where age is known,,8.6,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Beaver,All,All (18+ years),2018,2018 Q3,7/1/2018-9/30/2018,16,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,4,04,42,007,40.6834924548,-80.3510735648,POINT (-80.3510735648 40.6834924548)
County,Fulton,All,All (18+ years),2018,2018 Q4,10/1/2018-12/31/2018,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,29,29,42,057,39.9248751086,-78.1148504535,POINT (-78.1148504535 39.9248751086)
County,Mercer,All,All (18+ years),2017,2017 Q1,1/1/2017-3/31/2017,3,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,43,43,42,085,41.302377765,-80.2600941079,POINT (-80.26009410790002 41.302377765)
County,Fayette,All,All (18+ years),2018,2018 Q3,7/1/2018-9/30/2018,12,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,26,26,42,051,39.919447803,-79.6518963464,POINT (-79.6518963464 39.919447803)
County,Franklin,All,All (18+ years),2017,2017 Q4,10/1/2017-12/31/2017,9,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,28,28,42,055,39.9278619704,-77.7239884483,POINT (-77.7239884483 39.9278619704)
