Age Group,Gender,County Name,Rate,Type of Rate,Overdose Type,Time Measure,Year,Time Period,Quarter Date Start,Notes,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude
All Ages,All Genders,BLAIR,0.06,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,7,07,42,013,"(40.4855502384, -78.349076871)"
All Ages,All Genders,LAWRENCE,0.14,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,37,37,42,073,"(40.9932503514, -80.3375411446)"
All Ages,All Genders,WARREN,0,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,62,62,42,123,"(41.8167523652, -79.278581578)"
All Ages,All Genders,WYOMING,,Suppressed/Not Displayed due to count between 1 and 520,Any Opioid Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  Not displayed when count is between 1 and 4.,66,66,42,131,"(41.5189248803, -76.0181300338)"
All Ages,All Genders,DELAWARE,0.41,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,23,23,42,045,"(39.9165786652, -75.4062771212)"
All Ages,All Genders,JUNIATA,,Not Applicable,Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,No Emergency Department Identified in County. ,34,34,42,067,"(40.5343300836, -77.405775001)"
All Ages,All Genders,ALLEGHENY,1.04,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,2,02,42,003,"(40.4673554298, -79.9861984282)"
All Ages,All Genders,ARMSTRONG,,Suppressed/Not Displayed due to count between 1 and 22,Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,Not displayed when count is between 1 and 4.,3,03,42,005,"(40.8150952555, -79.4731689893)"
All Ages,All Genders,MERCER,0.54,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,43,43,42,085,"(41.302377765, -80.2600941079)"
All Ages,All Genders,LYCOMING,0.06,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,41,41,42,081,"(41.3445979226, -77.069424568)"
All Ages,All Genders,PIKE,0.31,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,No Emergency Department Identified in County. ,52,52,42,103,"(41.332571995, -75.0327092448)"
All Ages,All Genders,UNION,,Suppressed/Not Displayed due to count between 1 and 442,Heroin Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,Not displayed when count is between 1 and 4.,60,60,42,119,"(40.9647313096, -77.0641580308)"
All Ages,All Genders,MONTOUR,,Suppressed/Not Displayed due to count between 1 and 351,Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Not displayed when count is between 1 and 4.,47,47,42,093,"(41.0280182438, -76.6647052668)"
All Ages,All Genders,LAWRENCE,0.07,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,37,37,42,073,"(40.9932503514, -80.3375411446)"
All Ages,All Genders,WARREN,0.52,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,62,62,42,123,"(41.8167523652, -79.278581578)"
All Ages,All Genders,FOREST,,Suppressed/Not Displayed due to count between 1 and 179,Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,No Emergency Department Identified in County. Not displayed when count is between 1 and 4.,27,27,42,053,"(41.5135787577, -79.2378099483)"
All Ages,All Genders,BLAIR,0.95,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,7,07,42,013,"(40.4855502384, -78.349076871)"
All Ages,All Genders,BEDFORD,0.13,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,5,05,42,009,"(40.0073753643, -78.4911647381)"
All Ages,All Genders,TIOGA,0,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,59,59,42,117,"(41.7733383358, -77.2578807579)"
All Ages,All Genders,GREENE,0.2,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,30,30,42,059,"(39.8548039342, -80.2294381655)"
All Ages,All Genders,GREENE,,Suppressed/Not Displayed due to count between 1 and 221,Heroin Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,Not displayed when count is between 1 and 4.,30,30,42,059,"(39.8548039342, -80.2294381655)"
All Ages,All Genders,CARBON,1.21,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,13,13,42,025,"(40.9193670081, -75.7110703866)"
All Ages,All Genders,LANCASTER,0.22,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,36,36,42,071,"(40.0459079619, -76.2513876838)"
All Ages,All Genders,WARREN,,Suppressed/Not Displayed due to count between 1 and 483,Any Opioid Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,Not displayed when count is between 1 and 4.,62,62,42,123,"(41.8167523652, -79.278581578)"
All Ages,All Genders,BLAIR,0.92,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,7,07,42,013,"(40.4855502384, -78.349076871)"
All Ages,All Genders,PENNSYLVANIA,0.17,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,ADAMS,,Suppressed/Not Displayed due to count between 1 and 13,Any Opioid Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Not displayed when count is between 1 and 4.,1,01,42,001,"(39.8720956503, -77.2222427076)"
All Ages,All Genders,WESTMORELAND,,Suppressed/Not Displayed due to count between 1 and 513,Any Opioid Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,Not displayed when count is between 1 and 4.,65,65,42,129,"(40.3103149985, -79.471341176)"
All Ages,All Genders,BUTLER,,Suppressed/Not Displayed due to count between 1 and 70,Heroin Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,Not displayed when count is between 1 and 4.,10,10,42,019,"(40.9108318483, -79.9171177889)"
All Ages,All Genders,CLARION,,Suppressed/Not Displayed due to count between 1 and 92,Heroin Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,Not displayed when count is between 1 and 4.,16,16,42,031,"(41.1927912877, -79.4248360769)"
All Ages,All Genders,LACKAWANNA,0.02,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,35,35,42,069,"(41.4391006428, -75.6121834524)"
All Ages,All Genders,PENNSYLVANIA,0.17,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,ALLEGHENY,1.16,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,2,02,42,003,"(40.4673554298, -79.9861984282)"
All Ages,All Genders,BUTLER,0.06,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,10,10,42,019,"(40.9108318483, -79.9171177889)"
All Ages,All Genders,FRANKLIN,0.71,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,28,28,42,055,"(39.9278619704, -77.7239884483)"
All Ages,All Genders,LANCASTER,0.09,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,36,36,42,071,"(40.0459079619, -76.2513876838)"
All Ages,All Genders,ADAMS,0.41,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,1,01,42,001,"(39.8720956503, -77.2222427076)"
45-54,All Genders,PENNSYLVANIA,0.16,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,MERCER,0.3,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,43,43,42,085,"(41.302377765, -80.2600941079)"
All Ages,All Genders,YORK,1.08,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,67,67,42,133,"(39.9219253124, -76.7257605231)"
All Ages,All Genders,LUZERNE,0.33,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,40,40,42,079,"(41.1783643884, -75.991996098)"
All Ages,All Genders,CAMBRIA,0.55,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,11,11,42,021,"(40.4912749067, -78.7189417385)"
All Ages,All Genders,DELAWARE,0.37,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,23,23,42,045,"(39.9165786652, -75.4062771212)"
All Ages,All Genders,BUTLER,0.07,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,10,10,42,019,"(40.9108318483, -79.9171177889)"
All Ages,All Genders,ALLEGHENY,0.26,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,2,02,42,003,"(40.4673554298, -79.9861984282)"
45-54,All Genders,PENNSYLVANIA,0.12,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,CENTRE,0.62,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,14,14,42,027,"(40.9193135008, -77.8250011212)"
All Ages,All Genders,NORTHUMBERLAND,0.49,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,49,49,42,097,"(40.8515092572, -76.7118842273)"
All Ages,All Genders,PERRY,,Not Applicable,Any Opioid Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,No Emergency Department Identified in County. ,50,50,42,099,"(40.4041531744, -77.2590738496)"
All Ages,All Genders,LYCOMING,0.08,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,41,41,42,081,"(41.3445979226, -77.069424568)"
All Ages,All Genders,BRADFORD,0.51,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,8,08,42,015,"(41.7911781401, -76.5182562384)"
All Ages,All Genders,PERRY,,Not Applicable,Any Opioid Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,No Emergency Department Identified in County. ,50,50,42,099,"(40.4041531744, -77.2590738496)"
All Ages,All Genders,WAYNE,0.08,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,64,64,42,127,"(41.6496980525, -75.3051535022)"
All Ages,All Genders,HUNTINGDON,,Suppressed/Not Displayed due to count between 1 and 242,Any Opioid Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,Not displayed when count is between 1 and 4.,31,31,42,061,"(40.4161050032, -77.9827661036)"
All Ages,All Genders,PERRY,,Not Applicable,Any Opioid Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,No Emergency Department Identified in County. ,50,50,42,099,"(40.4041531744, -77.2590738496)"
All Ages,All Genders,JEFFERSON,,Suppressed/Not Displayed due to count between 1 and 261,Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  Not displayed when count is between 1 and 4.,33,33,42,065,"(41.1313909115, -79.0010181419)"
All Ages,All Genders,INDIANA,0.15,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,32,32,42,063,"(40.6529549748, -79.0933349286)"
All Ages,All Genders,CHESTER,0.08,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,15,15,42,029,"(39.9748705566, -75.7562649818)"
All Ages,All Genders,COLUMBIA,,Suppressed/Not Displayed due to count between 1 and 148,Heroin Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  Not displayed when count is between 1 and 4.,19,19,42,037,"(41.0491208559, -76.4100217975)"
All Ages,All Genders,BEAVER,0,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,4,04,42,007,"(40.6834924548, -80.3510735648)"
All Ages,All Genders,UNION,,Suppressed/Not Displayed due to count between 1 and 444,Heroin Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,Not displayed when count is between 1 and 4.,60,60,42,119,"(40.9647313096, -77.0641580308)"
All Ages,All Genders,CLEARFIELD,,Suppressed/Not Displayed due to count between 1 and 129,Heroin Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,Less than 100% of Emergency Departments in the County are Under Surveillance.  Not displayed when count is between 1 and 4.,17,17,42,033,"(41.0004290024, -78.4755834299)"
All Ages,All Genders,MONROE,0.65,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,45,45,42,089,"(41.0609178653, -75.3408360302)"
All Ages,All Genders,CAMERON,,Not Applicable,Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,No Emergency Department Identified in County. ,12,12,42,023,"(41.4388026531, -78.2091693241)"
All Ages,All Genders,LEHIGH,0.11,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,39,39,42,077,"(40.6146479416, -75.6009948118)"
All Ages,All Genders,WESTMORELAND,0.91,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,65,65,42,129,"(40.3103149985, -79.471341176)"
All Ages,All Genders,WYOMING,,Suppressed/Not Displayed due to count between 1 and 528,Heroin Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,Less than 100% of Emergency Departments in the County are Under Surveillance.  Not displayed when count is between 1 and 4.,66,66,42,131,"(41.5189248803, -76.0181300338)"
All Ages,All Genders,MCKEAN,,Suppressed/Not Displayed due to count between 1 and 309,Any Opioid Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,Not displayed when count is between 1 and 4.,42,42,42,083,"(41.810370736, -78.5712201998)"
All Ages,All Genders,FAYETTE,1.07,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,26,26,42,051,"(39.919447803, -79.6518963464)"
All Ages,All Genders,FOREST,,Not Applicable,Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,No Emergency Department Identified in County. ,27,27,42,053,"(41.5135787577, -79.2378099483)"
All Ages,All Genders,GREENE,0.62,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,30,30,42,059,"(39.8548039342, -80.2294381655)"
All Ages,All Genders,NORTHAMPTON,0.17,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,48,48,42,095,"(40.754595404, -75.3126372576)"
All Ages,All Genders,INDIANA,0.15,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,32,32,42,063,"(40.6529549748, -79.0933349286)"
All Ages,All Genders,ALLEGHENY,0.3,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,2,02,42,003,"(40.4673554298, -79.9861984282)"
All Ages,All Genders,POTTER,0,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,53,53,42,105,"(41.7442064382, -77.8987922939)"
All Ages,All Genders,VENANGO,,Suppressed/Not Displayed due to count between 1 and 464,Any Opioid Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,Not displayed when count is between 1 and 4.,61,61,42,121,"(41.4034125863, -79.7628656104)"
All Ages,All Genders,VENANGO,0.53,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,61,61,42,121,"(41.4034125863, -79.7628656104)"
All Ages,All Genders,CAMERON,,Not Applicable,Any Opioid Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,No Emergency Department Identified in County. ,12,12,42,023,"(41.4388026531, -78.2091693241)"
All Ages,All Genders,NORTHUMBERLAND,0.47,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,49,49,42,097,"(40.8515092572, -76.7118842273)"
All Ages,All Genders,FOREST,,Not Applicable,Any Drug Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,No Emergency Department Identified in County. ,27,27,42,053,"(41.5135787577, -79.2378099483)"
All Ages,All Genders,BRADFORD,,Suppressed/Not Displayed due to count between 1 and 64,Any Opioid Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,Not displayed when count is between 1 and 4.,8,08,42,015,"(41.7911781401, -76.5182562384)"
All Ages,All Genders,TIOGA,0,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,59,59,42,117,"(41.7733383358, -77.2578807579)"
15-24,All Genders,PENNSYLVANIA,0.23,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,MERCER,0.14,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,43,43,42,085,"(41.302377765, -80.2600941079)"
All Ages,All Genders,FAYETTE,0.28,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,26,26,42,051,"(39.919447803, -79.6518963464)"
All Ages,All Genders,BERKS,0.7,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,6,06,42,011,"(40.4193963513, -75.9307732705)"
All Ages,All Genders,POTTER,,Suppressed/Not Displayed due to count between 1 and 393,Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,Less than 100% of Emergency Departments in the County are Under Surveillance.  Not displayed when count is between 1 and 4.,53,53,42,105,"(41.7442064382, -77.8987922939)"
All Ages,All Genders,MONTGOMERY,0.01,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,46,46,42,091,"(40.209898739, -75.3725200072)"
All Ages,All Genders,DAUPHIN,1.21,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,22,22,42,043,"(40.4197463597, -76.7796056802)"
All Ages,All Genders,SOMERSET,0,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,56,56,42,111,"(39.9714629901, -79.0310020611)"
All Ages,All Genders,CRAWFORD,0.73,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,20,20,42,039,"(41.6854690692, -80.1132108295)"
All Ages,All Genders,BEDFORD,0.75,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,5,05,42,009,"(40.0073753643, -78.4911647381)"
All Ages,All Genders,POTTER,0,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,53,53,42,105,"(41.7442064382, -77.8987922939)"
All Ages,All Genders,GREENE,,Suppressed/Not Displayed due to count between 1 and 236,Any Opioid Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,Not displayed when count is between 1 and 4.,30,30,42,059,"(39.8548039342, -80.2294381655)"
All Ages,All Genders,CLEARFIELD,,Suppressed/Not Displayed due to count between 1 and 125,Any Opioid Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  Not displayed when count is between 1 and 4.,17,17,42,033,"(41.0004290024, -78.4755834299)"
All Ages,All Genders,LACKAWANNA,0.05,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,35,35,42,069,"(41.4391006428, -75.6121834524)"
All Ages,All Genders,SCHUYLKILL,0.81,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,54,54,42,107,"(40.707512431, -76.223323851)"
All Ages,All Genders,DELAWARE,1.29,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,23,23,42,045,"(39.9165786652, -75.4062771212)"
All Ages,All Genders,LUZERNE,0.06,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,40,40,42,079,"(41.1783643884, -75.991996098)"
All Ages,All Genders,GREENE,0.38,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,30,30,42,059,"(39.8548039342, -80.2294381655)"
All Ages,All Genders,SOMERSET,,Suppressed/Not Displayed due to count between 1 and 404,Any Opioid Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,Not displayed when count is between 1 and 4.,56,56,42,111,"(39.9714629901, -79.0310020611)"
45-54,All Genders,PENNSYLVANIA,0.85,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,PHILADELPHIA,0.38,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,51,51,42,101,"(40.0044435384, -75.140236002)"
All Ages,All Genders,PERRY,0.15,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,No Emergency Department Identified in County. ,50,50,42,099,"(40.4041531744, -77.2590738496)"
All Ages,All Genders,JEFFERSON,0.31,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,33,33,42,065,"(41.1313909115, -79.0010181419)"
All Ages,All Genders,BUCKS,0.91,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,9,09,42,017,"(40.335011331, -75.1129124111)"
All Ages,All Genders,LUZERNE,0.24,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,40,40,42,079,"(41.1783643884, -75.991996098)"
All Ages,All Genders,CARBON,0.2,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,13,13,42,025,"(40.9193670081, -75.7110703866)"
All Ages,All Genders,ARMSTRONG,0.66,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,3,03,42,005,"(40.8150952555, -79.4731689893)"
All Ages,All Genders,BEAVER,0.03,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,4,04,42,007,"(40.6834924548, -80.3510735648)"
All Ages,All Genders,CLEARFIELD,0,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,17,17,42,033,"(41.0004290024, -78.4755834299)"
All Ages,All Genders,SNYDER,,Suppressed/Not Displayed due to count between 1 and 398,Heroin Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,No Emergency Department Identified in County. Not displayed when count is between 1 and 4.,55,55,42,109,"(40.7711373692, -77.0725596804)"
All Ages,All Genders,COLUMBIA,,Suppressed/Not Displayed due to count between 1 and 136,Any Opioid Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,Less than 100% of Emergency Departments in the County are Under Surveillance.  Not displayed when count is between 1 and 4.,19,19,42,037,"(41.0491208559, -76.4100217975)"
All Ages,All Genders,ELK,0.32,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,24,24,42,047,"(41.4281941606, -78.6494771322)"
All Ages,All Genders,CHESTER,0.07,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,15,15,42,029,"(39.9748705566, -75.7562649818)"
All Ages,All Genders,FULTON,0,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,29,29,42,057,"(39.9248751086, -78.1148504535)"
All Ages,All Genders,PHILADELPHIA,0.28,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,51,51,42,101,"(40.0044435384, -75.140236002)"
55-64,All Genders,PENNSYLVANIA,0.52,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,0,00,42,000,"(39.346129, -75.167756)"
